ITEM NO.,Quantity,Rate,Alt1,Alt2,Alt3,CONDITION
4209,3000,4.25,None,None,None,600.0
4210,1950,4.25,None,None,None,600.0
4211,1350,3.9,None,None,None,600.0
4212,3600,4.4,None,None,None,600.0
4213,3100,4.4,None,None,None,600.0
4214,2950,4.4,None,None,None,600.0
4215,3100,4.5,None,None,None,600.0
4216,2550,4.5,None,None,None,600.0
4217,2300,4.6,None,None,None,600.0
4218,2050,4.6,None,None,None,600.0
4219,4750,4.7,None,None,None,600.0
4220,5200,4.7,None,None,None,600.0
4221,1850,5.4,None,None,None,400.0
4222,0,5.4,nan,nan,nan,400.0
4223,2450,5.5,None,None,None,400.0
4224,2600,5.5,None,None,None,400.0
4225,4150,5.25,None,None,None,400.0
4226,5200,5.3,None,None,None,400.0
4227,4850,5.3,None,None,None,400.0
4228,2850,5.5,None,None,None,400.0
4229,0,5.5,nan,nan,nan,400.0
4230,2350,5.5,None,None,None,400.0
4231,3950,5.9,None,None,None,400.0
4232,17050,6.25,None,None,None,400.0
4232,17050,6.25,None,None,None,400.0
4232,17050,6.75,None,None,None,400.0
4232,17050,6.75,None,None,None,400.0
4232,2400,6.25,None,None,None,400.0
4232,2400,6.25,None,None,None,400.0
4232,2400,6.75,None,None,None,400.0
4232,2400,6.75,None,None,None,400.0
4233,3250,6.75,nan,nan,nan,400.0
4234,1000,7.0,nan,nan,nan,400.0
4235,5000,4.35,nan,nan,nan,600.0
4236,5000,4.35,nan,nan,nan,600.0
4237,2000,6.75,None,None,None,400.0
4238,1650,6.75,None,None,None,400.0
4239,1700,5.75,None,None,None,400.0
4240,950,5.75,None,None,None,400.0
4241,4300,6.25,None,None,None,400.0
4242,2600,4.5,None,None,None,600.0
5000,3100,0.0,nan,nan,nan,0.0
5000,3100,0.0,nan,nan,nan,600.0
5000,3100,4.8,nan,nan,nan,0.0
5000,3100,4.8,nan,nan,nan,600.0
5000,0,0.0,nan,nan,nan,0.0
5000,0,0.0,nan,nan,nan,600.0
5000,0,4.8,nan,nan,nan,0.0
5000,0,4.8,nan,nan,nan,600.0
5001,2800,4.8,nan,nan,nan,600.0
5002,0,4.9,nan,nan,nan,600.0
5003,2050,5.1,nan,nan,nan,400.0
5004,0,5.0,nan,nan,nan,600.0
5005,0,5.5,nan,nan,nan,400.0
5006,0,5.5,nan,nan,nan,400.0
5007,3900,6.25,5008.0,nan,nan,400.0
5008,3450,6.25,5007.0,nan,nan,400.0
5009,3350,5.75,nan,nan,nan,400.0
5010,1000,5.85,nan,nan,nan,400.0
5010,1000,5.85,nan,nan,nan,400.0
5010,1000,5.85,nan,nan,nan,400.0
5010,1000,5.85,nan,nan,nan,400.0
5010,3700,5.85,nan,nan,nan,400.0
5010,3700,5.85,nan,nan,nan,400.0
5010,3700,5.85,nan,nan,nan,400.0
5010,3700,5.85,nan,nan,nan,400.0
5011,1500,6.0,5013.0,nan,nan,400.0
5012,3800,6.25,nan,nan,nan,400.0
5013,3350,6.25,5011.0,nan,nan,400.0
5014,1700,6.75,nan,nan,nan,400.0
5015,1450,6.75,5027.0,nan,nan,400.0
5016,4300,6.75,nan,nan,nan,400.0
5017,3950,6.75,None,None,None,400.0
5018,3450,7.0,None,None,None,400.0
5019,3650,7.0,None,None,None,400.0
5020,1400,7.25,None,None,None,300.0
5021,1750,6.8,None,None,None,400.0
5022,1050,7.25,None,None,None,300.0
5022,1050,7.25,None,None,None,300.0
5022,1050,7.25,None,None,None,300.0
5022,1050,7.25,None,None,None,300.0
5022,2400,7.25,None,None,None,300.0
5022,2400,7.25,None,None,None,300.0
5022,2400,7.25,None,None,None,300.0
5022,2400,7.25,None,None,None,300.0
5023,1200,7.25,None,None,None,300.0
5024,1600,7.25,nan,nan,nan,300.0
5025,3150,7.5,nan,nan,nan,300.0
5026,1550,7.1,nan,nan,nan,300.0
5027,200,7.35,5015.0,nan,nan,300.0
5028,1450,7.25,None,None,None,300.0
5029,2600,7.25,None,None,None,300.0
5030,3350,7.5,None,None,None,300.0
5031,3500,7.5,None,None,None,300.0
5032,1600,8.0,None,None,None,300.0
5033,1500,8.5,None,None,None,300.0
5034,1200,8.5,None,None,None,300.0
5035,1250,9.0,None,None,None,300.0
5036,0,9.0,nan,nan,nan,300.0
5037,2550,9.0,nan,nan,nan,300.0
5038,1200,9.5,None,None,None,300.0
5038,50,9.5,None,None,None,300.0
5039,750,9.5,None,None,None,300.0
5040,1300,9.0,None,None,None,300.0
5041,1750,6.5,None,None,None,400.0
5042,1550,6.0,None,None,None,400.0
5042,1550,6.0,None,None,None,400.0
5042,1550,6.0,None,None,None,400.0
5042,1550,6.0,None,None,None,400.0
5042,500,6.0,None,None,None,400.0
5042,500,6.0,None,None,None,400.0
5042,500,6.0,None,None,None,400.0
5042,500,6.0,None,None,None,400.0
5043,1400,6.8,None,None,None,400.0
5044,2000,9.75,None,None,None,300.0
5045,3450,8.25,nan,nan,nan,300.0
5046,4500,5.75,None,None,None,400.0
5850,1650,5.5,None,None,None,400.0
5851,400,6.0,None,None,None,400.0
5852,1600,6.0,None,None,None,400.0
5853,0,0.0,nan,nan,nan,0.0
5854,3600,6.7,nan,nan,nan,400.0
5855,4150,6.7,None,None,None,400.0
5856,2950,6.8,nan,nan,nan,400.0
5857,3550,6.8,5859.0,nan,nan,400.0
5858,1800,6.8,nan,nan,nan,400.0
5859,3000,7.1,5857.0,nan,nan,300.0
5860,2700,7.5,nan,nan,nan,300.0
5861,3300,7.8,nan,nan,nan,300.0
5862,4700,7.5,nan,nan,nan,300.0
5863,0,8.0,nan,nan,nan,300.0
5864,0,8.5,nan,nan,nan,300.0
5865,1450,7.75,5915.0,nan,nan,300.0
5866,2450,8.0,nan,nan,nan,300.0
5867,2300,8.25,None,None,None,300.0
5868,1000,8.25,None,None,None,300.0
5869,1450,8.3,None,None,None,300.0
5870,3050,8.5,None,None,None,300.0
5871,3300,8.5,None,None,None,300.0
5872,4000,8.5,nan,nan,nan,300.0
5873,0,8.5,nan,nan,nan,300.0
5874,950,8.5,None,None,None,300.0
5875,1200,9.5,None,None,None,300.0
5876,1200,9.75,None,None,None,300.0
5877,1550,9.0,None,None,None,300.0
5878,2500,9.25,None,None,None,300.0
5879,1850,9.5,None,None,None,300.0
5880,950,9.25,None,None,None,300.0
5881,2450,9.25,None,None,None,300.0
5882,2700,9.25,None,None,None,300.0
5883,1200,10.5,None,None,None,200.0
5884,0,10.5,nan,nan,nan,200.0
5885,750,9.75,None,None,None,300.0
5886,1950,10.0,None,None,None,300.0
5887,0,10.0,nan,nan,nan,300.0
5888,2050,10.5,None,None,None,200.0
5889,2450,11.0,None,None,None,200.0
5890,2500,11.0,None,None,None,200.0
5891,2600,10.0,nan,nan,nan,300.0
5892,2700,10.5,None,None,None,200.0
5893,2300,10.75,None,None,None,200.0
5894,0,10.75,nan,nan,nan,200.0
5895,2300,10.5,nan,nan,nan,200.0
5896,2350,10.5,nan,nan,nan,200.0
5897,0,11.0,nan,nan,nan,200.0
5898,2000,11.25,None,None,None,200.0
5899,1750,11.75,nan,nan,nan,200.0
5900,1000,11.75,nan,nan,nan,200.0
5901,1900,11.25,nan,nan,nan,200.0
5902,2100,10.5,nan,nan,nan,200.0
5903,0,0.0,nan,nan,nan,0.0
5904,2800,11.4,5905.0,5907.0,nan,200.0
5905,2350,11.0,nan,nan,nan,200.0
5906,0,12.5,nan,nan,nan,200.0
5907,1600,12.25,nan,nan,nan,200.0
5908,1200,12.0,nan,nan,nan,200.0
5909,1600,13.25,nan,nan,nan,200.0
5910,2000,13.5,nan,nan,nan,200.0
5911,0,12.5,nan,nan,nan,200.0
5912,2450,13.0,nan,nan,nan,200.0
5913,1000,13.5,nan,nan,nan,200.0
5914,150,13.25,nan,nan,nan,200.0
5915,2750,13.5,5916.0,5919.0,nan,200.0
5916,1100,14.25,nan,nan,nan,200.0
5917,1700,13.9,nan,nan,nan,200.0
5918,1250,13.75,nan,nan,nan,200.0
5919,1450,14.5,nan,nan,nan,200.0
5920,1800,14.75,nan,nan,nan,200.0
5921,1250,14.75,nan,nan,nan,200.0
5922,900,15.5,nan,nan,nan,200.0
5923,1950,15.5,nan,nan,nan,200.0
5924,1400,15.0,None,None,None,200.0
5925,1900,18.0,None,None,None,200.0
5926,3400,7.25,None,None,None,300.0
5927,1000,12.0,None,None,None,200.0
5928,1250,8.5,None,None,None,300.0
5929,2350,11.0,None,None,None,200.0
5930,950,11.0,None,None,None,200.0
5931,1400,11.5,None,None,None,200.0
5932,2700,13.25,None,None,None,200.0
5933,2800,13.25,None,None,None,200.0
5934,3750,14.75,None,None,None,200.0
5935,1600,15.0,nan,nan,nan,200.0
5936,2000,13.0,None,None,None,200.0
5937,1650,10.5,None,None,None,200.0
5938,1200,13.0,None,None,None,200.0
5939,0,11.0,nan,nan,nan,200.0
5940,2300,10.5,None,None,None,200.0
5941,0,7.75,None,None,None,300.0
5942,1050,7.5,None,None,None,300.0
5943,2600,10.5,None,None,None,200.0
5944,2700,11.5,None,None,None,200.0
5945,1000,11.9,None,None,None,200.0
5946,1900,13.25,nan,nan,nan,200.0
5947,9050,9.75,None,None,None,300.0
6500,950,26.0,6501.0,6502.0,nan,200.0
6501,1950,24.0,6500.0,6501.0,nan,200.0
6502,800,18.5,6500.0,6501.0,nan,200.0
6503,950,18.25,nan,nan,nan,200.0
6504,1350,24.5,nan,nan,nan,200.0
6505,1350,16.5,nan,nan,nan,200.0
6506,1100,29.0,nan,nan,nan,200.0
6507,1800,15.0,nan,nan,nan,200.0
6508,650,17.0,nan,nan,nan,200.0
6509,1350,16.5,None,None,None,200.0
6510,100,59.0,None,None,None,200.0
6511,550,18.5,None,None,None,200.0
6512,1950,18.5,None,None,None,200.0
6513,900,12.5,None,None,None,200.0
6514,1350,16.5,None,None,None,200.0
6515,150,36.0,None,None,None,200.0
6516,850,20.5,None,None,None,200.0
6517,450,19.0,None,None,None,200.0
6518,650,16.0,None,None,None,200.0
6519,600,15.75,None,None,None,200.0
6520,700,15.5,6521.0,nan,nan,200.0
6521,1850,16.5,6520.0,6522.0,nan,200.0
6522,1950,20.25,6520.0,nan,nan,200.0
6523,1250,27.0,nan,nan,nan,200.0
6524,1900,15.75,nan,nan,nan,200.0
6525,1600,14.75,nan,nan,nan,200.0
6526,850,23.0,nan,nan,nan,200.0
6527,1600,15.5,None,None,None,200.0
6528,1600,15.5,None,None,None,200.0
6529,2000,25.0,None,None,None,200.0
6530,1200,12.5,None,None,None,200.0
6531,450,38.0,None,None,None,200.0
6532,350,21.0,None,None,None,200.0
6533,1650,17.0,None,None,None,200.0
6534,1650,18.0,None,None,None,200.0
6535,1350,18.75,None,None,None,200.0
6536,950,32.0,None,None,None,200.0
6537,1350,19.0,None,None,None,200.0
6538,1050,17.5,nan,nan,nan,200.0
6539,550,26.0,nan,nan,nan,200.0
6540,1650,18.0,6505.0,nan,nan,200.0
6541,1350,21.5,nan,nan,nan,200.0
6542,450,35.75,nan,nan,nan,200.0
6543,1300,19.25,None,None,None,200.0
6544,2350,14.25,None,None,None,200.0
6545,1450,17.0,None,None,None,200.0
6546,1400,17.0,None,None,None,200.0
6547,1250,23.0,None,None,None,200.0
6548,1650,16.0,None,None,None,200.0
6549,1800,16.5,None,None,None,200.0
6550,750,16.5,None,None,None,200.0
7250,6350,2.9,nan,nan,nan,1000.0
7251,1200,3.1,nan,nan,nan,600.0
7252,3650,3.25,7274.0,nan,nan,600.0
7253,800,3.1,nan,nan,nan,600.0
7253,800,3.1,nan,nan,nan,600.0
7253,800,3.1,nan,nan,nan,600.0
7253,800,3.1,nan,nan,nan,600.0
7253,4000,3.1,nan,nan,nan,600.0
7253,4000,3.1,nan,nan,nan,600.0
7253,4000,3.1,nan,nan,nan,600.0
7253,4000,3.1,nan,nan,nan,600.0
7254,8000,3.1,7274.0,7250.0,nan,600.0
7255,0,3.75,nan,nan,nan,600.0
7256,0,3.9,nan,nan,nan,600.0
7257,2100,3.75,None,None,None,600.0
7258,7550,3.5,None,None,None,600.0
7259,7600,3.5,None,None,None,600.0
7260,3750,3.5,None,None,None,600.0
7261,3450,3.9,None,None,None,600.0
7262,3000,3.8,None,None,None,600.0
7263,3000,4.1,None,None,None,600.0
7264,2900,4.2,None,None,None,600.0
7265,6000,4.1,nan,nan,nan,600.0
7266,8000,3.75,None,None,None,600.0
7267,6950,3.75,None,None,None,600.0
7268,4800,5.75,None,None,None,400.0
7269,4950,3.85,None,None,None,600.0
7270,2800,4.25,None,None,None,600.0
7271,0,0.0,nan,nan,nan,0.0
7272,2650,4.4,None,None,None,600.0
7273,3500,4.5,None,None,None,600.0
7274,4000,4.35,7250.0,7254.0,nan,600.0
7275,3350,4.5,nan,nan,nan,600.0
7276,3200,4.9,nan,nan,nan,600.0
7277,6000,4.7,nan,nan,nan,600.0
7278,3450,4.75,nan,nan,nan,600.0
7279,2900,4.8,nan,nan,nan,600.0
7279,2900,4.8,nan,nan,nan,600.0
7279,2900,4.8,nan,nan,nan,600.0
7279,2900,4.8,nan,nan,nan,600.0
7279,3100,4.8,nan,nan,nan,600.0
7279,3100,4.8,nan,nan,nan,600.0
7279,3100,4.8,nan,nan,nan,600.0
7279,3100,4.8,nan,nan,nan,600.0
7280,2550,4.9,nan,nan,nan,600.0
7281,2600,5.1,nan,nan,nan,400.0
7282,0,4.9,nan,nan,nan,600.0
7283,2100,5.25,nan,nan,nan,400.0
7284,4600,5.5,nan,nan,nan,400.0
7286,1800,5.5,nan,nan,nan,400.0
7287,800,5.75,nan,nan,nan,400.0
7288,3000,5.5,nan,nan,nan,400.0
7289,4500,5.25,nan,nan,nan,400.0
7290,6000,5.3,None,None,None,400.0
7291,0,5.5,nan,nan,nan,400.0
7292,0,5.85,nan,nan,nan,400.0
7293,4000,5.9,None,None,None,400.0
7294,1700,6.0,None,None,None,400.0
7295,4000,6.25,None,None,None,400.0
7296,2500,6.5,None,None,None,400.0
7297,2100,6.5,None,None,None,400.0
7298,2000,6.75,None,None,None,400.0
7299,2800,7.35,None,None,None,300.0
7300,3000,7.0,None,None,None,400.0
7301,3000,6.7,nan,nan,nan,400.0
7302,3300,6.8,nan,nan,nan,400.0
7303,3000,7.1,nan,nan,nan,300.0
7304,1700,7.25,nan,nan,nan,300.0
7305,4000,7.5,nan,nan,nan,300.0
7306,1800,7.25,nan,nan,nan,300.0
7307,3000,6.9,nan,nan,nan,400.0
7308,2000,8.0,nan,nan,nan,300.0
7309,3100,6.8,nan,nan,nan,400.0
7310,1350,8.5,nan,nan,nan,300.0
7311,3700,8.25,nan,nan,nan,300.0
7312,3300,8.5,nan,nan,nan,300.0
7314,850,8.75,nan,nan,nan,300.0
7315,-150,8.8,None,None,None,300.0
7316,3200,8.5,None,None,None,300.0
7317,0,9.3,nan,nan,nan,300.0
7318,3000,9.25,None,None,None,300.0
7319,2300,9.5,None,None,None,300.0
7320,1700,11.75,None,None,None,200.0
7321,2000,11.75,None,None,None,200.0
7322,2700,12.5,None,None,None,200.0
7323,2400,11.0,nan,nan,nan,200.0
7324,2300,12.5,None,None,None,200.0
7325,2000,13.25,None,None,None,200.0
7326,2150,11.75,nan,nan,nan,200.0
7327,1850,12.5,None,None,None,200.0
7328,0,0.0,nan,nan,nan,0.0
7328,0,0.0,nan,nan,nan,200.0
7328,0,14.75,nan,nan,nan,0.0
7328,0,14.75,nan,nan,nan,200.0
7328,1800,0.0,nan,nan,nan,0.0
7328,1800,0.0,nan,nan,nan,200.0
7328,1800,14.75,nan,nan,nan,0.0
7328,1800,14.75,nan,nan,nan,200.0
7329,2600,5.5,None,None,None,400.0
7330,4000,6.8,None,None,None,400.0
7331,2500,14.25,None,None,None,200.0
7332,4400,6.75,None,None,None,400.0
7335,5000,0.0,None,None,None,0.0
7337,2800,9.25,None,None,None,300.0
7338,4400,2.75,None,None,None,1000.0
7339,10600,2.75,nan,nan,nan,1000.0
7340,17050,1.8,nan,nan,nan,1000.0
7341,15500,1.8,nan,nan,nan,1000.0
7342,4600,6.25,None,None,None,400.0
7343,700,2.2,None,None,None,1000.0
7344,0,2.2,None,None,None,1000.0
7345,900,2.2,None,None,None,1000.0
7346,2800,0.0,None,None,None,0.0
9000,12300,2.5,9001.0,nan,nan,1000.0
9001,10400,2.5,9000.0,nan,nan,1000.0
9002,11550,2.5,nan,nan,nan,1000.0
9003,8000,2.75,9004.0,9005.0,nan,1000.0
9004,19100,2.9,9003.0,9005.0,nan,1000.0
9005,6400,3.75,9004.0,9003.0,nan,600.0
9006,6400,3.75,9001.0,9003.0,nan,600.0
9008,7200,4.0,nan,nan,nan,600.0
9009,0,0.0,nan,nan,nan,0.0
9010,1500,4.0,nan,nan,nan,600.0
9011,2200,4.2,nan,nan,nan,600.0
9012,3200,4.4,nan,nan,nan,600.0
9013,1500,4.5,nan,nan,nan,600.0
9014,1500,4.5,nan,nan,nan,600.0
9015,3000,4.8,nan,nan,nan,600.0
9016,3000,4.8,nan,nan,nan,600.0
9017,2600,4.8,nan,nan,nan,600.0
9018,2400,5.0,nan,nan,nan,600.0
9019,0,0.0,nan,nan,nan,0.0
9020,6400,5.0,None,None,None,600.0
9021,2100,4.9,None,None,None,600.0
9022,2100,4.9,None,None,None,600.0
9023,0,5.0,nan,nan,nan,600.0
9024,0,5.0,nan,nan,nan,600.0
9025,1100,5.25,None,None,None,400.0
9026,1100,5.25,None,None,None,400.0
9027,4800,5.25,None,None,None,400.0
9028,0,0.0,nan,nan,nan,0.0
9029,2300,5.7,None,None,None,400.0
9030,2350,5.5,None,None,None,400.0
9031,6450,5.75,None,None,None,400.0
9032,0,0.0,nan,nan,nan,0.0
9033,3600,5.75,None,None,None,400.0
9034,0,0.0,nan,nan,nan,0.0
9035,1600,6.0,None,None,None,400.0
9036,1100,6.0,None,None,None,400.0
9037,500,6.0,None,None,None,400.0
9038,2800,6.0,None,None,None,400.0
9039,5600,6.0,None,None,None,400.0
9040,5200,6.0,None,None,None,400.0
9041,2500,6.5,None,None,None,400.0
9042,1500,6.6,None,None,None,400.0
9043,1500,6.6,None,None,None,400.0
9044,3600,7.25,nan,nan,nan,300.0
